"ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000189001","SBSN",3.31232416811086,-5.04582147150302,9.18200081670629,1.68347484006422e-17,4.32602529651303e-13,27.9601207140508
"ENSG00000187288","CIDEC",3.6246218801005,-3.01341399394891,8.59174315087024,9.48998609103654e-16,1.21932086290683e-11,24.750880022795
"ENSG00000187957","DNER",3.4172490172054,-0.449253293472181,8.48535274580809,1.93454908265043e-15,1.65707025922893e-11,24.41042245049
"ENSG00000242948","EPS15P1",2.49477420031284,-5.21170800097874,8.43104243750151,2.77777838179002e-15,1.78451427692145e-11,23.0438224466054
"ENSG00000126767","ELK1",0.675042456273561,4.96826706125058,8.09976062616872,2.45623778528143e-14,1.26235884736754e-10,22.0391667726043
"ENSG00000131094","C1QL1",3.0331204416142,3.38064938257745,7.96369994748863,5.92863002928258e-14,2.17640008374963e-10,21.1847583408915
"ENSG00000180198","RCC1",0.933539279217931,4.41955709578324,7.96694021860479,5.80608198347842e-14,2.17640008374963e-10,21.2050566914101
"ENSG00000164651","SP8",2.85727426569002,-5.68466147838432,7.85193934309936,1.21491002484284e-13,3.90244286354832e-10,19.5471333710498
"ENSG00000249550","LINC01234",3.76675957127092,-2.76510278238416,7.81136953583812,1.57408811971295e-13,4.01463127262237e-10,19.9982487037629
"ENSG00000267301","RPL23AP77",2.4805625348129,-5.05469376387104,7.80526440266063,1.63654231008974e-13,4.01463127262237e-10,19.4093642914193
"ENSG00000281332","LINC00997",0.847230259725103,2.1976801966706,7.79759080285916,1.71852527527906e-13,4.01463127262237e-10,20.1482416318053
"ENSG00000115590","IL1R2",2.47830798164039,2.18273255613123,7.64222555409554,4.59567265843065e-13,9.40852594197272e-10,19.2108453430696
"ENSG00000228742","LINC02577",3.85873903245051,-3.06706212631619,7.6366512658511,4.75973215728083e-13,9.40852594197272e-10,18.9283112851268
"ENSG00000102359","SRPX2",2.15482220344296,1.55184655558803,7.58871836651475,6.43135573719049e-13,1.18047534556131e-09,18.8844087489042
"ENSG00000166130","IKBIP",0.906348057593664,5.71917635709514,7.49852718134695,1.12963730154992e-12,1.86982738130684e-09,18.3058338945854
"ENSG00000186854","TRABD2A",1.70365389602385,0.755123485544369,7.49367927021901,1.1642307701642e-12,1.86982738130684e-09,18.2742503339191
"ENSG00000136231","IGF2BP3",2.86427520740305,-0.926324339786683,7.42792433375716,1.75072789403841e-12,2.6463796878297e-09,17.8358026460988
"ENSG00000165164","CFAP47",3.06877545253238,-1.96904851303965,7.33798684949146,3.0480758539255e-12,4.35146695657353e-09,17.2408252630942
"ENSG00000183778","B3GALT5",2.75972391588948,0.594606947591593,7.29038807511824,4.08080633974824e-12,5.24322402562553e-09,17.097415941054
"ENSG00000188373","C10orf99",3.97425336631533,0.361670898787656,7.29405736828094,3.99020650868703e-12,5.24322402562553e-09,17.1256023123264
"ENSG00000152503","TRIM36",1.22990427333336,0.760822302957035,7.23373627269519,5.76641938636943e-12,7.05617518912072e-09,16.7302667774277
"ENSG00000151062","CACNA2D4",1.36071613070597,2.25093585223579,7.19324219360565,7.37555885845336e-12,8.6149879993489e-09,16.5336711201794
"ENSG00000261634","",-2.24878626924179,0.678153022709241,-7.1608479380227,8.97500550349722e-12,1.00274224531899e-08,16.1138203372503
"ENSG00000146678","IGFBP1",3.30596828547526,0.564583853774193,7.13909749780834,1.02360537413912e-11,1.09598280413554e-08,16.2182805367469
"ENSG00000173262","SLC2A14",1.86806250043127,-1.45729681251395,7.06029969778019,1.64465589720305e-11,1.69050890361707e-08,15.626035123338
"ENSG00000273014","",0.753601399834043,1.1632758977683,7.0499146867324,1.75028819242106e-11,1.72989060310169e-08,15.6748634586063
"ENSG00000131459","GFPT2",1.9726226319712,2.46387080051665,7.0199755107654,2.09366502446941e-11,1.9214610762068e-08,15.5168293566041
"ENSG00000166250","CLMP",2.38351450584057,0.428181343486795,7.02200818701042,2.06838733489372e-11,1.9214610762068e-08,15.5319633186966
"ENSG00000168389","MFSD2A",2.01119678069413,1.18910333029476,7.0079299011128,2.24982561640006e-11,1.99357823671146e-08,15.4598415432764
"ENSG00000134057","CCNB1",0.978538671723579,3.29499038477715,6.96378575494518,2.92651227899838e-11,2.50675286778071e-08,15.1891790112442
"ENSG00000100196","KDELR3",1.49855660531883,3.91674396641626,6.93492022811909,3.47357889203424e-11,2.85654978366814e-08,14.9959645120767
"ENSG00000172986","GXYLT2",1.90753134999793,2.33546905063132,6.93090695376116,3.55720874333114e-11,2.85654978366814e-08,15.0092348021289
"ENSG00000214510","SPINK13",2.58964188167958,0.677339150596943,6.91190260736329,3.98092606671217e-11,3.09993506473644e-08,14.9120660541221
"ENSG00000261594","TPBGL",1.94881151593722,-0.330685674776109,6.90435564018735,4.16264438590736e-11,3.14610214072534e-08,14.8254053565385
"ENSG00000105048","TNNT1",3.05338782373261,-2.33040510405153,6.84060397853711,6.0614820625159e-11,4.45034013029917e-08,14.3952498508726
"ENSG00000256235","SMIM3",1.71077366208892,5.49039711597382,6.83499361220908,6.26462538703646e-11,4.471724404741e-08,14.4037481278687
"ENSG00000214108","TPT1P5",1.7097961105553,-1.97871643134434,6.79856369718505,7.75658309185848e-11,5.38705177598615e-08,14.1249949142305
"ENSG00000118849","RARRES1",1.95963970305217,2.59365840172804,6.77229898290414,9.04396322831856e-11,5.99184462189765e-08,14.1002243671582
"ENSG00000139131","YARS2",0.528148857925059,3.58015455365676,6.77135886222957,9.09374402669604e-11,5.99184462189765e-08,14.0951072055595
