"ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000101003","GINS1",0.942055338214482,4.00279405907507,14.3003175124282,1.37927272160641e-41,3.09522591455696e-37,83.587027906103
"ENSG00000087586","AURKA",1.0811099504847,4.29644366010565,13.746361199373,7.5025252221924e-39,5.61213895037399e-35,77.3916017171922
"ENSG00000101057","MYBL2",1.53117355933642,5.04171067193561,13.7793036073782,5.18048179698554e-39,5.61213895037399e-35,77.7802265722424
"ENSG00000178999","AURKB",1.22211822571742,3.16448957762799,13.6781157507822,1.61306649135977e-38,9.04970628315113e-35,76.5462054166342
"ENSG00000146410","MTFR2",1.06394321216802,1.59732524134971,13.5183456889528,9.59231675254597e-38,4.30522360487768e-34,74.5605402216972
"ENSG00000166451","CENPN",0.877525933820817,3.13091290797598,13.4388554836285,2.31753903857458e-37,8.66798226077537e-34,73.915067813272
"ENSG00000166851","PLK1",1.11130845992177,4.48656678621528,13.3260005916977,8.06281188656884e-37,2.58482230780702e-33,72.7825442341155
"ENSG00000175063","UBE2C",1.27418930212755,4.70772172236557,13.2351111029285,2.19005323751928e-36,6.14337308789627e-33,71.8013153064499
"ENSG00000101447","FAM83D",1.25347772788366,3.67803960905348,13.1182449583755,7.86439708671637e-36,1.9609437224778e-32,70.4994154396086
"ENSG00000130826","DKC1",0.527578833020722,6.36228916132321,13.0718999315293,1.30306863905899e-35,2.92421633291227e-32,70.0458224413338
"ENSG00000088305","DNMT3B",0.912067964791843,2.84485638916587,12.9910475188074,3.13586183267462e-35,6.39744321700464e-32,69.0597653230299
"ENSG00000088325","TPX2",1.08968177824975,5.87054923867599,12.9043577858564,8.00898038909087e-35,1.49774607426324e-31,68.251513208431
"ENSG00000091651","ORC6",1.10583804302994,2.48018395964437,12.839293871736,1.61452358920357e-34,2.7870402973321e-31,67.4130980851361
"ENSG00000103121","CMC2",0.604854467718681,4.04861320271653,12.7666921521439,3.5204273661412e-34,5.64299360882676e-31,66.7697789858108
"ENSG00000174371","EXO1",1.10704098768662,3.37328587674677,12.5302586268561,4.36839129814597e-33,6.53540460811292e-30,64.2568975661213
"ENSG00000077152","UBE2T",0.910023556940982,4.23206912390777,12.3077299407942,4.54190785082274e-32,6.37030963001957e-29,61.9851691930741
"ENSG00000136982","DSCC1",0.890132936581822,3.12394924843484,12.2757079359651,6.34690901903126e-32,8.37829325271062e-29,61.6057990431628
"ENSG00000143228","NUF2",1.04605117769015,3.65986548903111,12.1892405043834,1.56203253113477e-31,1.94742066839974e-28,60.7520099896889
"ENSG00000126953","TIMM8A",0.503944928018426,2.80362616086059,12.1509658768152,2.32392053423414e-31,2.60755503543742e-28,60.2997409005488
"ENSG00000135451","TROAP",1.04874561628956,3.37393768479547,12.1536611807828,2.25987133126396e-31,2.60755503543742e-28,60.3749936127101
"ENSG00000103257","SLC7A5",1.29543798415291,6.13322180979654,12.1432204362402,2.5182017009382e-31,2.69099830336925e-28,60.2919370085444
"ENSG00000065328","MCM10",1.15596270671643,3.19262223680585,11.9901375388966,1.22216045873481e-30,1.19245664584643e-27,58.7061194807633
"ENSG00000165480","SKA3",0.967209981975762,2.99245682612535,11.9910204686231,1.21112381266551e-30,1.19245664584643e-27,58.7004634332756
"ENSG00000101412","E2F1",0.935031097795333,4.10217091246136,11.9002501329155,3.07017492860431e-30,2.87074148220039e-27,57.8305758807616
"ENSG00000102384","CENPI",0.892095235812143,2.30773535996207,11.8878812859798,3.48374606505408e-30,3.12714981783515e-27,57.6069886357914
"ENSG00000111665","CDCA3",0.948900691191801,3.51934597649188,11.867071034589,4.30821157417992e-30,3.71848368985276e-27,57.4818860188479
"ENSG00000129810","SGO1",1.01668934984209,2.205406008012,11.843949385998,5.45333672820971e-30,4.53253072287978e-27,57.1607533931698
"ENSG00000166946","CCNDBP1",-0.473362782776999,5.19108135949233,-11.7695723973698,1.16146400973031e-29,9.30871922941357e-27,56.5186886582063
"ENSG00000093009","CDC45",1.01722099541317,2.98292826404403,11.7643527974206,1.22459926806039e-29,9.47628695673902e-27,56.4284525358022
"ENSG00000187741","FANCA",0.86017366751053,3.19481917297383,11.7507781013188,1.40522720939358e-29,1.05115679353337e-26,56.3039502061319
"ENSG00000167977","KCTD5",0.421004101438515,5.41999652446342,11.7421617626993,1.53337583345583e-29,1.11001571221233e-26,56.2402576857198
"ENSG00000149636","DSN1",0.540431092760975,4.70767663714344,11.6981526390776,2.39295929412435e-29,1.67813748498264e-26,55.8079661246238
"ENSG00000102900","NUP93",0.501219571921098,5.4504374946701,11.6842291861722,2.75410737843451e-29,1.87287647513481e-26,55.6617685886772
"ENSG00000071539","TRIP13",0.928577711998984,3.94911539764564,11.6675911210767,3.25732767523194e-29,2.14993206940824e-26,55.5023284260396
"ENSG00000102225","CDK16",0.429323405148745,6.91630602793791,11.6621573344489,3.44070601247145e-29,2.20608238931062e-26,55.4294581207479
"ENSG00000261061","",0.822849989508084,1.70971484443636,11.6524283907517,3.79503759496182e-29,2.36567885190384e-26,55.212007970444
"ENSG00000150753","CCT5",0.535491685081226,7.76091916008795,11.6317868419204,4.6714266100825e-29,2.83328336640166e-26,55.1246380732718
"ENSG00000167513","CDT1",0.949837734298919,3.6281020679287,11.6227640207943,5.11513381021104e-29,3.02075573249858e-26,55.0515837230661
"ENSG00000131828","PDHA1",0.452494748361182,5.91824399484937,11.6145606530618,5.55477933717355e-29,3.19627700270542e-26,54.9640174989884
