"ensembl_gene_id","hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000124228","DDX27",0.682728638248086,6.17502806767069,8.32636155611286,1.75609669927277e-14,4.36969541680042e-10,22.4094175419494
"ENSG00000109332","UBE2D3",-0.431661763862679,7.57076995906861,-8.17715866657906,4.38221047130784e-14,5.45212715787765e-10,21.5138230985199
"ENSG00000164329","TENT2",-0.470176679319754,5.29951860135202,-7.76082600444569,5.40147522394784e-13,4.48016359991647e-09,19.0830135739838
"ENSG00000026103","FAS",-1.16574269407745,4.09212388562358,-7.54121321145704,1.98103621818542e-12,9.85882484342154e-09,17.8317956403868
"ENSG00000041880","PARP3",-0.782525559197068,4.44259323074183,-7.57247353615284,1.64833411041545e-12,9.85882484342154e-09,18.0098659779557
"ENSG00000129625","REEP5",-0.516815065552707,6.93035535521292,-7.47637587925031,2.89717976257443e-12,1.20150873386899e-08,17.4349272788366
"ENSG00000213742","ZNF337-AS1",0.960729051056006,1.29635472379315,7.39652745990624,4.61619507976864e-12,1.43580977712354e-08,16.9055963138389
"ENSG00000273374","",1.36212276711543,-3.11548909452326,7.39804943027237,4.57549804729412e-12,1.43580977712354e-08,16.4144280306463
"ENSG00000130699","TAF4",0.603414869275131,5.36497571598174,7.36200649305375,5.64162136599784e-12,1.55978293833471e-08,16.802462138182
"ENSG00000145741","BTF3",-0.583421301043376,8.23764793164994,-7.30230264458091,7.97222350458411e-12,1.98372837464566e-08,16.4443280655782
"ENSG00000101255","TRIB3",1.42837857666457,4.31465170051466,7.04460739053609,3.48606644786122e-11,7.22864928517756e-08,15.0584909301379
"ENSG00000280213","UCKL1-AS1",0.977988403630637,0.485528133551027,7.04813271187373,3.41706621991847e-11,7.22864928517756e-08,14.9612339341056
"ENSG00000172728","FUT10",-0.645144034114122,3.22146253301748,-7.02433019115053,3.91047115798524e-11,7.48494260185744e-08,14.9546056717962
"ENSG00000101407","TTI1",0.533826499635182,5.24467460497657,6.97190895944326,5.25836756398132e-11,9.34599714961051e-08,14.6401161901444
"ENSG00000135637","CCDC142",0.633678444976021,2.90824993266695,6.9525196696838,5.86531002964346e-11,9.42297347767457e-08,14.5648042331784
"ENSG00000232874","",1.71230504519308,-2.7417813660399,6.94674527178494,6.05905942381518e-11,9.42297347767457e-08,14.1330781705877
"ENSG00000163584","RPL22L1",-1.30772534367928,5.45275659307216,-6.93236034079159,6.56958384183545e-11,9.61593851390539e-08,14.4284960184898
"ENSG00000101158","NELFCD",0.625881565391849,6.54698926860353,6.88345968824755,8.64305533623441e-11,1.19480636628623e-07,14.1379790191903
"ENSG00000113048","MRPS27",-0.531647822096371,5.61170159047555,-6.86653533582623,9.50141608025882e-11,1.24433545434253e-07,14.062655399317
"ENSG00000164040","PGRMC2",-0.442942096338099,6.18787148201853,-6.78520458302567,1.494876814623e-10,1.80853441109635e-07,13.6130550212143
"ENSG00000234072","",0.597518274255315,2.54956043241035,6.78145668543892,1.52631204569479e-10,1.80853441109635e-07,13.6438002312649
"ENSG00000101190","TCFL5",0.620235357384532,4.06622153832265,6.75751735649231,1.74303263285689e-10,1.92158981715305e-07,13.5108947878999
"ENSG00000101452","DHX35",0.504523791927614,4.08933992605974,6.75411730403268,1.77617513139574e-10,1.92158981715305e-07,13.4923609813535
"ENSG00000203288","TDRKH-AS1",1.12829959880771,-1.46072919650273,6.68162012308835,2.65063447778517e-10,2.74815573794702e-07,12.9183274774874
"ENSG00000257800","FNBP1P1",1.07793079494529,-0.371487293208332,6.65404436487399,3.08461048221224e-10,3.07017450515548e-07,12.8514151036912
"ENSG00000158985","CDC42SE2",-0.579414285414608,6.08512763467683,-6.58076237365194,4.60714293604004e-10,4.24590880286979e-07,12.524952602343
"ENSG00000184402","SS18L1",0.649131005402364,4.39063076807521,6.58503610446926,4.50092127105314e-10,4.24590880286979e-07,12.5869536653065
"ENSG00000179846","NKPD1",1.48304516398379,-1.61964866147844,6.57290148838583,4.80900027929851e-10,4.27365549820661e-07,12.3558155115888
"ENSG00000101115","SALL4",1.88633072632859,1.34552981564692,6.56346265544995,5.06289688002687e-10,4.34414010571409e-07,12.4763502749062
"ENSG00000149634","SPATA25",1.14955629597396,-1.04316891294071,6.55024530374729,5.44072355959997e-10,4.36714594624278e-07,12.2829817282964
"ENSG00000223891","OSER1-DT",0.856511571992135,1.79953258914942,6.55368328697218,5.33985849313494e-10,4.36714594624278e-07,12.4338567687578
"ENSG00000118564","FBXL5",-0.43331628829958,6.0261374287741,-6.54018459961141,5.74677826677534e-10,4.42877312106189e-07,12.3113958678312
